index,group,attribute_set,code,type,input,label,required,visible,user_defined
1,General,Default,salesman_gender,varchar,select,Salesman_Gender,TRUE,TRUE,TRUE
2,General,Default,salesman_status,varchar,select,Salesman_Status,TRUE,TRUE,TRUE
